기간,Dubai,Brent,WTI
14년12월12일,417.94,427.19,399.29
14년12월15일,413.55,423.96,388.20
14년12월16일,391.98,415.29,388.03
14년12월17일,381.76,420.37,388.01
14년12월18일,386.14,405.64,370.33
14년12월19일,386.50,425.91,392.19
14년12월22일,402.39,416.38,382.79
14년12월23일,387.88,425.78,394.23
14년12월24일,396.08,416.98,386.52
14년12월26일,391.19,412.93,380.15
14년12월29일,386.38,400.28,370.75
14년12월30일,370.38,399.95,373.84
14년12월31일,370.58,396.37,368.30
15년01월02일,368.30,390.08,364.29
15년01월05일,353.56,368.33,347.04
15년01월06일,335.29,356.35,334.24
15년01월07일,323.56,355.15,337.79
15년01월08일,328.55,352.49,337.48
15년01월09일,327.57,346.23,334.14
15년01월12일,313.74,325.83,316.49
15년01월13일,294.95,317.37,312.60
15년01월14일,289.44,331.21,329.78
15년01월15일,302.13,323.79,314.15
15년01월16일,299.48,342.10,332.01
15년01월19일,311.97,330.94,
15년01월20일,304.41,325.94,315.07
15년01월21일,305.23,334.42,325.89
15년01월22일,305.22,331.67,316.57
15년01월23일,303.23,333.06,311.21
15년01월26일,301.05,328.39,307.87
15년01월27일,296.19,336.72,313.84
15년01월28일,305.12,329.90,302.54
15년01월29일,303.99,334.64,303.31
15년01월30일,312.79,363.56,330.97
15년02월02일,336.45,377.39,341.69
15년02월03일,364.47,401.11,367.44
15년02월04일,378.01,374.15,334.70
15년02월05일,352.21,387.56,345.83
15년02월06일,371.52,395.98,354.12
15년02월09일,379.02,399.35,361.84
15년02월10일,385.23,389.37,345.14
15년02월11일,376.74,375.02,335.09
15년02월12일,377.74,393.61,353.32
15년02월13일,401.94,428.55,367.67
15년02월16일,406.44,424.20,
15년02월17일,406.97,432.12,369.93
15년02월18일,409.94,418.30,360.32
15년02월19일,,416.09,353.55
15년02월20일,,416.16,347.88
15년02월23일,396.85,408.00,342.54
15년02월24일,391.33,409.48,344.00
15년02월25일,389.37,429.74,355.55
15년02월26일,405.12,416.42,334.04
15년02월27일,396.78,432.67,344.03
15년03월02일,412.04,411.76,342.95
15년03월03일,396.31,423.15,350.33
15년03월04일,399.91,418.94,356.53
15년03월05일,395.53,417.12,350.08
15년03월06일,396.21,413.30,343.27
15년03월09일,391.29,404.78,345.78
15년03월10일,387.45,393.81,337.24
15년03월11일,376.72,405.17,339.19
15년03월12일,392.57,404.48,333.40
15년03월13일,390.94,388.88,318.96
15년03월16일,373.46,378.35,310.66
15년03월17일,368.30,381.64,309.96
15년03월18일,364.22,397.42,317.45
15년03월19일,378.40,385.70,311.51
15년03월20일,364.78,387.62,320.35
15년03월23일,373.02,394.53,334.78
15년03월24일,374.81,386.81,333.47
15년03월25일,366.91,393.30,342.67
15년03월26일,374.47,410.53,356.71
15년03월27일,391.50,391.78,339.41
15년03월30일,374.73,390.98,338.13
15년03월31일,374.20,383.03,330.83
15년04월01일,368.65,398.44,349.53
15년04월02일,379.28,381.50,341.17
15년04월06일,371.44,400.15,358.98
15년04월07일,375.76,403.70,368.73
15년04월08일,383.28,380.74,345.58
15년04월09일,366.63,389.05,349.30
15년04월10일,373.47,398.17,355.31
15년04월13일,389.55,398.84,357.39
15년04월14일,388.46,403.02,367.57
15년04월15일,391.99,416.13,389.02
15년04월16일,404.38,441.06,390.94
15년04월17일,405.57,434.61,381.80
15년04월20일,405.00,433.05,384.80
15년04월21일,403.49,422.77,376.32
15년04월22일,395.48,427.51,382.73
15년04월23일,398.74,441.26,392.88
15년04월24일,418.53,444.76,389.37
15년04월27일,420.78,439.99,386.78
15년04월28일,416.46,436.87,385.64
15년04월29일,415.26,443.49,394.58
15년04월30일,421.16,448.64,400.61
15년05월01일,,446.49,397.38
15년05월04일,424.00,447.01,396.42
15년05월05일,425.69,454.21,406.31
15년05월06일,440.33,460.58,414.09
15년05월07일,442.37,445.63,400.75
15년05월08일,430.30,446.91,405.90
15년05월11일,431.34,445.55,406.70
15년05월12일,427.77,458.35,416.46
